has_@,has_any_letters,has_any_numbers,has_special_characters,has_spaces,has_punctuation,is_capitalized,has_http_https_www,has_com_org_net,has_person_name,has_city_name,has_organization,label,data
0,1,0,0,1,0,1,0,0,1,0,0,name,Annette Myers
0,1,0,0,1,0,1,0,0,1,0,0,name,Lindsey Johnson
0,1,0,0,1,0,1,0,0,1,0,0,name,Tristan Parker
0,1,0,0,1,0,1,0,0,1,0,0,name,Michael Hernandez
0,1,0,0,1,0,1,0,0,1,0,0,name,Lisa Smith
0,1,0,0,1,0,1,0,0,1,0,0,name,Kayla Baldwin
0,1,0,0,1,0,1,0,0,1,0,0,name,Cassandra Garcia
0,1,0,0,1,0,1,0,0,1,0,0,name,Emily Cook
0,1,0,0,1,0,1,0,0,0,0,0,name,Rebekah Jimenez
0,1,0,0,1,0,1,0,0,1,0,0,name,Brian Jones
0,1,0,0,1,0,1,0,0,1,0,0,name,Michele Jenkins
0,1,0,0,1,0,1,0,0,1,0,0,name,Keith Humphrey
0,1,0,0,1,0,1,0,0,0,0,0,name,Amber Copeland
0,1,0,0,1,0,1,0,0,1,0,0,name,Richard Burns
0,1,0,0,1,0,1,0,0,1,0,0,name,Mr. Zachary Bryant
0,1,0,0,1,0,1,0,0,1,0,0,name,Danielle Chang
0,1,0,0,1,0,1,0,0,1,0,0,name,Jason Lee
0,1,0,0,1,0,1,0,0,1,0,0,name,Jennifer Jones
0,1,0,0,1,0,1,0,0,1,0,0,name,Douglas Turner
0,1,0,0,1,0,1,0,0,0,1,0,name,Amanda James
0,1,0,0,1,0,1,0,0,0,0,1,name,Tiffany Parsons
0,1,0,0,1,0,1,0,0,1,0,0,name,Eric Phillips
0,1,0,0,1,0,1,0,0,1,0,0,name,Alexandra Gutierrez
0,1,0,0,1,0,1,0,0,1,0,0,name,Kathy Reynolds
0,1,0,0,1,0,1,0,0,0,0,0,name,Joel French
0,1,0,0,1,0,1,0,0,1,0,0,name,Jennifer Sanchez
0,1,0,0,1,0,1,0,0,1,0,0,name,Kevin Woods
0,1,0,0,1,0,1,0,0,1,0,0,name,Gabriel Brown
0,1,0,0,1,0,1,0,0,1,0,0,name,Rachel Frye
0,1,0,0,1,0,1,0,0,1,0,0,name,Scott Romero
0,1,0,0,1,0,1,0,0,1,0,0,name,Shawn Boyle
0,1,0,0,1,0,1,0,0,1,0,0,name,Denise Smith
0,1,0,0,1,0,1,0,0,1,0,0,name,Sarah Perkins
0,1,0,0,1,0,1,0,0,1,0,0,name,Elizabeth Walton
0,1,0,0,1,0,1,0,0,1,0,0,name,Michael Davis
0,1,0,0,1,0,1,0,0,1,0,0,name,Janet Dunn
0,1,0,0,1,0,1,0,0,1,0,0,name,Carrie Krueger
0,1,0,0,1,0,1,0,0,1,0,0,name,Christopher Shaw
0,1,0,0,1,0,1,0,0,1,0,0,name,Maria Romero
0,1,0,0,1,0,1,0,0,1,0,0,name,Seth Hernandez
0,1,0,0,1,0,1,0,0,1,0,0,name,Timothy Taylor
0,1,0,0,1,0,1,0,0,1,0,0,name,Ashley Eaton
0,1,0,0,1,0,1,0,0,1,0,0,name,Daniel Nolan
0,1,0,0,1,0,1,0,0,0,0,0,name,Teresa Ware
0,1,0,0,1,0,1,0,0,1,0,0,name,Laura Cummings
0,1,0,0,1,0,1,0,0,1,1,0,name,Mrs. Hannah Lewis MD
0,1,0,0,1,0,1,0,0,1,0,0,name,Mrs. Holly Frank
0,1,0,0,1,0,1,0,0,1,0,0,name,Brianna Martinez
0,1,0,0,1,0,1,0,0,1,0,0,name,Andrew Gomez
0,1,0,0,1,0,1,0,0,1,0,0,name,Anne Thompson
0,1,0,0,1,0,1,0,0,1,0,0,name,Brent James
0,1,0,0,1,0,1,0,0,1,0,0,name,Karen Shannon
0,1,0,0,1,0,1,0,0,1,0,0,name,Tanya Smith
0,1,0,0,1,0,1,0,0,0,0,0,name,Crystal Galvan
0,1,0,0,1,0,1,0,0,1,0,0,name,Monique Henderson
0,1,0,0,1,0,1,0,0,1,0,0,name,Raymond Robinson
0,1,0,0,1,0,1,0,0,1,0,0,name,Tiffany Martin
0,1,0,0,1,0,1,0,0,1,0,0,name,Jerry Johnson
0,1,0,0,1,0,1,0,0,1,0,0,name,Gerald Caldwell
0,1,0,0,1,0,1,0,0,1,0,0,name,Michael Webb
0,1,0,0,1,0,1,0,0,1,0,0,name,Andrew Porter
0,1,0,0,1,0,1,0,0,1,0,0,name,Dawn Norman
0,1,0,0,1,0,1,0,0,1,0,0,name,Robert Mitchell
0,1,0,0,1,0,1,0,0,1,0,0,name,Lacey Rogers
0,1,0,0,1,0,1,0,0,1,0,0,name,Michelle Wiley
0,1,0,0,1,0,1,0,0,1,0,0,name,Matthew Fox
0,1,0,0,1,0,1,0,0,1,0,0,name,Audrey Anderson
0,1,0,0,1,0,1,0,0,1,0,0,name,Mason Brennan
0,1,0,0,1,0,1,0,0,1,0,0,name,Jane Fuller
0,1,0,0,1,0,1,0,0,1,0,0,name,Joseph Ward
0,1,0,0,1,0,1,0,0,1,0,0,name,Michael Garner
0,1,0,0,1,0,1,0,0,1,0,0,name,Jordan Johnson
0,1,0,0,1,0,1,0,0,1,0,0,name,Stacey Johnson
0,1,0,0,1,0,1,0,0,1,0,0,name,Kathryn Day
0,1,0,0,1,0,1,0,0,1,0,0,name,Sarah Macdonald
0,1,0,0,1,0,1,0,0,1,0,0,name,Anthony Ruiz
0,1,0,0,1,0,1,0,0,0,0,0,name,Heather Marquez
0,1,0,0,1,0,1,0,0,1,0,0,name,Gordon Alvarez
0,1,0,0,1,0,1,0,0,1,0,0,name,Charles Gilmore
0,1,0,0,1,0,1,0,0,1,0,0,name,Felicia Costa
0,1,0,0,1,0,1,0,0,1,0,0,name,David Adams
0,1,0,0,1,0,1,0,0,1,0,0,name,Denise Newman
0,1,0,0,1,0,1,0,0,1,0,0,name,Christina Lopez
0,1,0,0,1,0,1,0,0,1,0,0,name,Karen Phillips
0,1,0,0,1,0,1,0,0,1,0,0,name,Patricia Allen
0,1,0,0,1,0,1,0,0,1,0,0,name,Dr. Angela Kelley
0,1,0,0,1,0,1,0,0,1,0,0,name,Kathleen Kidd
0,1,0,0,1,0,1,0,0,1,0,0,name,Jeremy Hoffman
0,1,0,0,1,0,1,0,0,1,0,0,name,Jon Lopez
0,1,0,0,1,0,1,0,0,1,0,0,name,James Curtis
0,1,0,0,1,0,1,0,0,1,0,0,name,Tony Moss
0,1,0,0,1,0,1,0,0,0,0,1,name,Crystal Morris
0,1,0,0,1,0,1,0,0,1,1,0,name,Billy Wu MD
0,1,0,0,1,0,1,0,0,1,0,0,name,Alexander Reyes
0,1,0,0,1,0,1,0,0,1,0,0,name,Jamie Ellison
0,1,0,0,1,0,1,0,0,1,0,0,name,Madison Mueller
0,1,0,0,1,0,1,0,0,1,0,0,name,Jeanette Stark
0,1,0,0,1,0,1,0,0,1,0,0,name,Andrew Reynolds
0,1,0,0,1,0,1,0,0,1,0,0,name,Gina Schroeder
0,1,0,0,1,0,1,0,0,1,0,0,name,Sara Castillo
1,1,1,0,0,0,0,0,1,0,0,0,email,samantha42@example.org
1,1,1,0,0,0,0,0,1,0,0,0,email,alexis34@example.org
1,1,0,0,0,0,0,0,1,0,0,0,email,iroberts@example.org
1,1,0,0,0,0,0,0,1,0,0,0,email,carrolltroy@example.net
1,1,1,0,0,0,0,0,1,0,0,1,email,jerry46@example.com
1,1,0,0,0,0,0,0,1,0,0,0,email,kelleyjennifer@example.org
1,1,1,0,0,0,0,0,1,0,0,0,email,tina81@example.net
1,1,0,0,0,0,0,0,1,0,0,0,email,mcgrathscott@example.net
1,1,0,0,0,0,0,0,1,0,0,0,email,frankpierce@example.org
1,1,0,0,0,0,0,0,1,0,0,0,email,chrisgilbert@example.org
1,1,0,0,0,0,0,0,1,0,0,1,email,tjordan@example.org
1,1,0,0,0,0,0,0,1,0,0,0,email,kimrose@example.org
1,1,0,0,0,0,0,0,1,0,0,0,email,matthewmoody@example.net
1,1,0,0,0,0,0,0,1,0,0,0,email,hendersonmichael@example.org
1,1,0,0,0,0,0,0,1,0,0,0,email,derekcross@example.org
1,1,0,0,0,0,0,0,1,0,0,0,email,rwilson@example.com
1,1,0,0,0,0,0,0,1,0,0,0,email,clarkrebecca@example.com
1,1,0,0,0,0,0,0,1,0,0,0,email,evansjeffrey@example.com
1,1,0,0,0,0,0,0,1,0,0,0,email,djohnson@example.org
1,1,1,0,0,0,0,0,1,0,0,0,email,cory16@example.org
